list name;name;label:English(en);region;zone;code;color
know;1;Family member or relative;;;;
know;2;Friend;;;;
know;3;Neighbor;;;;
know;4;Acquaintance (member of a group, friend of a friend, etc.);;;;
know;98;Other (specify):;;;;
agree;1;Strongly agree;;;;
agree;2;Agree;;;;
agree;3;Disagree;;;;
agree;4;Strongly disagree ;;;;
statements;1;Each person is primarily responsible for his/her success or failure in life;;;;
statements;2; One’s success or failure in life is a matter of his/her destiny;;;;
statements2;1;To be successful, above all one needs to work very hard;;;;
statements2;2;To be successful, above all one needs to be lucky;;;;
childeduc;1;No preference;;;;
childeduc;2;Any level of primary;;;;
childeduc;3;Graduated from primary;;;;
childeduc;4;Graduated from secondary;;;;
childeduc;5;Post-secondary (college, university);;;;
yn2;1;Yes;;;;
yn2;2;No;;;;
yn2;3;Decision not made;;;;
input;1;I am solely responsible for the decision;;;;
input;2;I ask other HH members, but I most always have final say;;;;
input;3;Spouse/partner and I jointly decided;;;;
input;4;Spouse/partner or other male asks for my opinion but I don’t have final say;;;;
input;5;Spouse/partner or other male informs me of decision, but I don’t have final say;;;;
input;6;I have no say in the decision;;;;
marital_status;1;Married;;;;
marital_status;2;Single;;;;
marital_status;3;Divorced;;;;
marital_status;4;Widowed;;;;
month;1;January;;;;
month;2;February;;;;
month;3;March;;;;
month;4;April;;;;
month;5;May;;;;
month;6;June;;;;
month;7;July;;;;
month;8;August;;;;
month;9;September;;;;
month;10;October;;;;
month;11;November;;;;
month;12;December;;;;
happen_often;1;Rarely (1–2 times);;;;
happen_often;2;Sometimes (3–10 times);;;;
happen_often;3;Often (more than 10 times);;;;
region_et;benishangulgumuz;Benishangul Gumuz;;;;
region_et;gambella;Gambella;;;;
region_et;amhara;Amhara;;;;
region_et;oromia;Oromia;;;;
region_et;snnpr;SNNPR;;;;
region_et;somali;Somali;;;;
region_et;afar;Afar;;;;
region_et;Southwestethiopia;South West Ethiopia;;;;
zone_et;metekelzone;Metekel Zone;benishangulgumuz;;;
zone_et;kemashizone;Kemashi Zone;benishangulgumuz;;;
zone_et;assosazone;Assosa Zone;benishangulgumuz;;;
zone_et;nure;Nure;gambella;;;
zone_et;anywaa;Anywaa;gambella;;;
zone_et;majang;Majang;gambella;;;
zone_et;centralgondar;Central Gondar;amhara;;;
zone_et;westgondar;West Gondar;amhara;;;
zone_et;northgondar;North Gondar;amhara;;;
zone_et;northshewa;North Shewa;amhara;;;
zone_et;southwollo;South Wollo;amhara;;;
zone_et;oromospecialzoneartumafursi;Oromo Special Zone(Artuma Fursi);amhara;;;
zone_et;oromospecialzonejiletimunga;Oromo Special Zone(Jile Timunga);amhara;;;
zone_et;northwollo;North Wollo;amhara;;;
zone_et;waghimera;Waghimera;amhara;;;
zone_et;easthararghezone;East Hararghe Zone;oromia;;;
zone_et;borenazone;Borena Zone;oromia;;;
zone_et;eastbalezone;East Bale Zone;oromia;;;
zone_et;westwollega;West Wollega;oromia;;;
zone_et;westhararghezone;West Hararghe Zone;oromia;;;
zone_et;balezone;Bale Zone;oromia;;;
zone_et;gujizone;Guji Zone;oromia;;;
zone_et;westguji;West Guji;oromia;;;
zone_et;eastwollega;East Wollega;oromia;;;
zone_et;kelemwollega;Kelem Wollega;oromia;;;
zone_et;horoguduruwollega;Horo Guduru Wollega;oromia;;;
zone_et;yemspecialworeda;Yem Special Woreda;snnpr;;;
zone_et;southomozone;South Omo Zone;snnpr;;;
zone_et;gofazone;Gofa Zone;snnpr;;;
zone_et;konsozone;Konso Zone;snnpr;;;
zone_et;allespecialworeda;Alle;snnpr;;;
zone_et;amarospecialworeda;Amaro;snnpr;;;
zone_et;burjispecialworeda;Burji;snnpr;;;
zone_et;fafan;Fafan;somali;;;
zone_et;shebelle;Shebelle;somali;;;
zone_et;dollo;Dollo;somali;;;
zone_et;jererzone;Jerer Zone;somali;;;
zone_et;koreheyzone;Korehey Zone;somali;;;
zone_et;zone1awusi;Zone 1(Awusi);afar;;;
zone_et;zone2kilbati;Zone 2(Kilbati);afar;;;
zone_et;zone3gabi;Zone 3(Gabi);afar;;;
zone_et;zone4fanti;Zone 4(Fanti);afar;;;
zone_et;zone5hari;Zone 5(Hari);afar;;;
zone_et;kefazone;Kefa Zone;Southwestethiopia;;;
zone_et;shekazone;Sheka Zone;Southwestethiopia;;;
zone_et;benchishekozone;Benchi Sheko Zone;Southwestethiopia;;;
zone_et;dawurozone;Dawuro Zone;Southwestethiopia;;;
zone_et;kontaspecialworeda;Konta Special Woreda;Southwestethiopia;;;
woreda_et;mandura;Mandura;;metekelzone;;
woreda_et;dangur;Dangur;;metekelzone;;
woreda_et;dibate;Dibate;;metekelzone;;
woreda_et;bullen;Bullen;;metekelzone;;
woreda_et;guba;Guba;;metekelzone;;
woreda_et;wombera;Wombera;;metekelzone;;
woreda_et;pawi;Pawi;;metekelzone;;
woreda_et;kamshi;Kamshi;;kemashizone;;
woreda_et;yasso;Yasso;;kemashizone;;
woreda_et;agalometi;Agalo Meti;;kemashizone;;
woreda_et;sedal;Sedal;;kemashizone;;
woreda_et;belogiganfoi;Belogiganfoi;;kemashizone;;
woreda_et;assosa;Assosa;;assosazone;;
woreda_et;bambasi;Bambasi;;assosazone;;
woreda_et;sherkole;Sherkole;;assosazone;;
woreda_et;kurumuk;Kurumuk;;assosazone;;
woreda_et;oddabildigilu;Oddabildigilu;;assosazone;;
woreda_et;maokomospecial;Mao-Komo Special;;assosazone;;
woreda_et;akobo;Akobo;;nure;;
woreda_et;wantwar;Wantwar;;nure;;
woreda_et;mekuway;Mekuway;;nure;;
woreda_et;jor;Jor;;anywaa;;
woreda_et;gog;Gog;;anywaa;;
woreda_et;dimma;Dimma;;majang;;
woreda_et;godere;Godere;;majang;;
woreda_et;menegesh;Menegesh;;majang;;
woreda_et;kinfazbegela;Kinfaz Begela;;centralgondar;;
woreda_et;layarmacho;Lay Armacho;;centralgondar;;
woreda_et;takusa;Takusa;;centralgondar;;
woreda_et;quara;Quara;;westgondar;;
woreda_et;metema;Metema;;westgondar;;
woreda_et;debarkzuria;Debark Zuria;;northgondar;;
woreda_et;beyeda;Beyeda;;northgondar;;
woreda_et;janamora;Janamora;;northgondar;;
woreda_et;menzelalomidir;Menze Lalo Midir;;northshewa;;
woreda_et;assagirt;Assagirt;;northshewa;;
woreda_et;merhabetie;Merhabetie;;northshewa;;
woreda_et;ensaro;Ensaro;;northshewa;;
woreda_et;berhet;Berhet;;northshewa;;
woreda_et;debrebirhan;Debre Birhan;;northshewa;;
woreda_et;efrategideme;Efrate Gideme;;northshewa;;
woreda_et;mojawodera;Moja Wodera;;northshewa;;
woreda_et;wogidie;Wogidie;;southwollo;;
woreda_et;thehulederie;Thehulederie;;southwollo;;
woreda_et;borena;Borena;;southwollo;;
woreda_et;kelela;Kelela;;southwollo;;
woreda_et;mehalsaynt;Mehal Saynt;;southwollo;;
woreda_et;werebabu;Werebabu;;southwollo;;
woreda_et;artumafursi;Artuma Fursi;;oromospecialzoneartumafursi;;
woreda_et;jiletimuga;Jile Timuga;;oromospecialzonejiletimunga;;
woreda_et;meket;Meket;;northwollo;;
woreda_et;gidan;Gidan;;northwollo;;
woreda_et;kobo;Kobo;;northwollo;;
woreda_et;bugna;Bugna;;northwollo;;
woreda_et;danwnit;Danwnit;;northwollo;;
woreda_et;sekotazuria;Sekota Zuria;;waghimera;;
woreda_et;dahina;Dahina;;waghimera;;
woreda_et;gazigbla;Gazigbla;;waghimera;;
woreda_et;dedir;Dedir;;easthararghezone;;
woreda_et;gorogutu;Gorogutu;;easthararghezone;;
woreda_et;meyu;Meyu;;easthararghezone;;
woreda_et;kumbi;Kumbi;;easthararghezone;;
woreda_et;midegatola;Midega Tola;;easthararghezone;;
woreda_et;fedis;Fedis;;easthararghezone;;
woreda_et;babileineastharaghezone;Babile (in East haraghe zone);;easthararghezone;;
woreda_et;gursumineastharaghezone;Gursum (in East haraghe zone);;easthararghezone;;
woreda_et;chinaksen;Chinaksen;;easthararghezone;;
woreda_et;arero;Arero;;borenazone;;
woreda_et;moyaleor;Moyale (OR);;borenazone;;
woreda_et;dire;Dire;;borenazone;;
woreda_et;teltale;Teltale;;borenazone;;
woreda_et;miyo;Miyo;;borenazone;;
woreda_et;dilo;Dilo;;borenazone;;
woreda_et;dhas;Dhas;;borenazone;;
woreda_et;gomole;Gomole;;borenazone;;
woreda_et;guchi;Guchi;;borenazone;;
woreda_et;dubluk;Dubluk;;borenazone;;
woreda_et;elwaya;Elwaya;;borenazone;;
woreda_et;yabelotown;Yabelo town;;borenazone;;
woreda_et;wachile;Wachile;;borenazone;;
woreda_et;daweketchen;Dawe Ketchen;;eastbalezone;;
woreda_et;rayitu;Rayitu;;eastbalezone;;
woreda_et;sawena;Sawena;;eastbalezone;;
woreda_et;legahida;Legahida;;eastbalezone;;
woreda_et;gololicha;Gololicha;;eastbalezone;;
woreda_et;ginirrural;Ginir rural;;eastbalezone;;
woreda_et;sasiga;Sasiga;;westwollega;;
woreda_et;harolimu;Haro Limu;;westwollega;;
woreda_et;gutogida;Guto Gida;;westwollega;;
woreda_et;gidaayana;Gida Ayana;;westwollega;;
woreda_et;sebusire;Sebu Sire;;westwollega;;
woreda_et;diga;Diga;;westwollega;;
woreda_et;limu;Limu;;westwollega;;
woreda_et;doba;Doba;;westhararghezone;;
woreda_et;tulo;Tulo;;westhararghezone;;
woreda_et;gumbibordede;Gumbibordede;;westhararghezone;;
woreda_et;gelemso;Gelemso;;westhararghezone;;
woreda_et;anchar;Anchar;;westhararghezone;;
woreda_et;odabultum;Oda Bultum;;westhararghezone;;
woreda_et;boke;Boke;;westhararghezone;;
woreda_et;meiso;Meiso;;westhararghezone;;
woreda_et;chiro;Chiro;;westhararghezone;;
woreda_et;mechara;Mechara;;westhararghezone;;
woreda_et;delomena;Delomena;;balezone;;
woreda_et;medawelabu;Medawelabu;;balezone;;
woreda_et;berbere;Berbere;;balezone;;
woreda_et;harenabuluk;Harena Buluk;;balezone;;
woreda_et;gore;Gore;;balezone;;
woreda_et;guradamole;Gura Damole;;balezone;;
woreda_et;gorodola;Gorodola;;gujizone;;
woreda_et;liben;Liben;;gujizone;;
woreda_et;gumieldelo;Gumieldelo;;gujizone;;
woreda_et;agawayu;Aga Wayu;;gujizone;;
woreda_et;bore;Bore;;gujizone;;
woreda_et;sababoru;Saba Boru;;gujizone;;
woreda_et;adolarede;Adola-rede;;gujizone;;
woreda_et;wadera;Wadera;;gujizone;;
woreda_et;bulehora_westguji;Bule Hora (in west guji zone);;westguji;;
woreda_et;kercha;Kercha;;westguji;;
woreda_et;suroberguda;Suro Berguda;;westguji;;
woreda_et;gelana_westguji;Gelana (in west guji zone);;westguji;;
woreda_et;melkasoda;Melka soda;;westguji;;
woreda_et;dugdadawa_westguji;Dugda Dawa (in west guji zone);;westguji;;
woreda_et;abaya_westguji;Abaya (in west guji zone);;westguji;;
woreda_et;bojidermeji;Boji Dermeji;;eastwollega;;
woreda_et;gukiso;Gukiso;;eastwollega;;
woreda_et;gimbi;Gimbi;;eastwollega;;
woreda_et;babogambel;Babo Gambel;;eastwollega;;
woreda_et;qiltukara;Qiltu Kara;;eastwollega;;
woreda_et;gaweqebe;Gawe Qebe;;kelemwollega;;
woreda_et;seyo;Seyo;;kelemwollega;;
woreda_et;dembidolo;Dembi Dolo;;kelemwollega;;
woreda_et;anfilo;Anfilo;;kelemwollega;;
woreda_et;gidami;Gidami;;kelemwollega;;
woreda_et;hamru;Hamru;;horoguduruwollega;;
woreda_et;abaydongoro;Abay Dongoro;;horoguduruwollega;;
woreda_et;abaychoma;Abay Choma;;horoguduruwollega;;
woreda_et;yem;Yem;;yemspecialworeda;;
woreda_et;dasenech;Dasenech;;southomozone;;
woreda_et;salamago;Salamago;;southomozone;;
woreda_et;semenari;Semen Ari;;southomozone;;
woreda_et;ngagatom;Ngagatom;;southomozone;;
woreda_et;oyda;Oyda;;gofazone;;
woreda_et;zala;Zala;;gofazone;;
woreda_et;ubadtsehay;Uba D/Tsehay;;gofazone;;
woreda_et;gada;Gada;;gofazone;;
woreda_et;karatzuriya;Karat Zuriya;;konsozone;;
woreda_et;derashe;Derashe;;konsozone;;
woreda_et;kena;Kena;;konsozone;;
woreda_et;alle;Alle;;allespecialworeda;;
woreda_et;amaro;Amaro;;amarospecialworeda;;
woreda_et;burji;Burji;;burjispecialworeda;;
woreda_et;kebrebayah;Kebrebayah;;fafan;;
woreda_et;babileinfafanzone;Babile (in Fafan zone);;fafan;;
woreda_et;awbare;Awbare;;fafan;;
woreda_et;gursuminfafanzone;Gursum (in Fafan zone);;fafan;;
woreda_et;tuligulled;Tuligulled;;fafan;;
woreda_et;kalafo;Kalafo;;shebelle;;
woreda_et;denan;Denan;;shebelle;;
woreda_et;gode;Gode;;shebelle;;
woreda_et;mustahil;Mustahil;;shebelle;;
woreda_et;danot;Danot;;dollo;;
woreda_et;bokh;Bokh;;dollo;;
woreda_et;daratole;Daratole;;dollo;;
woreda_et;warder;Warder;;dollo;;
woreda_et;gashamo;Gashamo;;jererzone;;
woreda_et;degahbur;Degahbur;;jererzone;;
woreda_et;ararso;Ararso;;jererzone;;
woreda_et;kebridahar;Kebridahar;;koreheyzone;;
woreda_et;sheykosh;Sheykosh;;koreheyzone;;
woreda_et;dubti;Dubti;;zone1awusi;;
woreda_et;elidar;Elidar;;zone1awusi;;
woreda_et;kori;Kori;;zone1awusi;;
woreda_et;chifra;Chifra;;zone1awusi;;
woreda_et;adar;Adar;;zone1awusi;;
woreda_et;dalol;Dalol;;zone2kilbati;;
woreda_et;kuneba;Kuneba;;zone2kilbati;;
woreda_et;berahile;Berahile;;zone2kilbati;;
woreda_et;erabti;Erabti;;zone2kilbati;;
woreda_et;aba'ala;Aba'ala;;zone2kilbati;;
woreda_et;afedera;Afedera;;zone2kilbati;;
woreda_et;bidu;Bidu;;zone2kilbati;;
woreda_et;megale;Megale;;zone2kilbati;;
woreda_et;awash;Awash;;zone3gabi;;
woreda_et;hankura;Hankura;;zone3gabi;;
woreda_et;gelalu;Gelalu;;zone3gabi;;
woreda_et;amibara;Amibara;;zone3gabi;;
woreda_et;dulacha;Dulacha;;zone3gabi;;
woreda_et;gewane;Gewane;;zone3gabi;;
woreda_et;yalo;Yalo;;zone4fanti;;
woreda_et;awra;Awra;;zone4fanti;;
woreda_et;ewa;Ewa;;zone4fanti;;
woreda_et;teru;Teru;;zone4fanti;;
woreda_et;dawe;Dawe;;zone5hari;;
woreda_et;dalifage;Dalifage;;zone5hari;;
woreda_et;gimbo;Gimbo;;kefazone;;
woreda_et;adiyo;Adiyo;;kefazone;;
woreda_et;masha;Masha;;shekazone;;
woreda_et;yeki;Yeki;;shekazone;;
woreda_et;anderacha;Anderacha;;shekazone;;
woreda_et;Northbenchi;North Benchi;;benchishekozone;;
woreda_et;gurafarda;Gura Farda;;benchishekozone;;
woreda_et;tocha;Tocha;;dawurozone;;
woreda_et;issera;Issera;;dawurozone;;
woreda_et;zaba;Zaba;;dawurozone;;
woreda_et;konta;Konta;;kontaspecialworeda;;
